region,size,mean_total,median_total,std_total,cv_total,q25_total,q75_total,min_total,max_total,mean_exec_beegfs_share,cv_exec_beegfs_share,mean_exec_local_share,cv_exec_local_share,mean_movement_share,cv_movement_share,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,nodes
0,26,264.30156556163865,269.7522884135381,55.7026584323467,0.21075417511802857,239.64442545431666,294.9240743932122,140.44533390595524,340.02963806677366,0.641694482234754,0.2284196379022337,0.001714511701036881,1.0779374210108579,0.3565910070796647,0.41072903962894663,beegfs,"beegfs,ssd",beegfs,*,*,"10,5"
1,8,415.0560892009137,429.3228968996375,74.52639273269638,0.17955740120854086,403.2093365602809,476.274576832295,277.71401862242857,476.9286397550284,0.4052211433689744,0.22671655316577521,0.0002697633675962562,1.8532047729112504,0.5945090940510653,0.15426334878470083,beegfs,tmpfs,beegfs,*,*,"10,5"
2,18,416.2070908420068,459.0776355861983,58.37736084455703,0.1402603706881996,367.48388168674444,466.81094957355003,307.50777507903786,470.2331871307025,0.030061379321871133,0.3632869796106994,0.0429506819693855,0.1651354909967911,0.926987938775988,0.01824252868797029,tmpfs,beegfs,beegfs,*,*,"10,5"
3,9,447.57286081211225,494.6747453059593,59.67838135960729,0.13333780169629147,402.1339736781318,495.3653069959598,344.18531416931,496.9722903849803,0.043331168633482124,0.17153515228580013,0.09586076329855289,0.1469543712570102,0.8608080675581211,0.024419818756237895,tmpfs,beegfs,beegfs,*,*,2
4,26,562.0965376031165,588.4972381055818,50.89106072232821,0.09053793666713746,515.8586939974231,600.0487439909405,448.08274402721406,610.6651673912484,0.02206762163971922,0.3394338766181988,0.02902123512386404,0.12046497363616247,0.9489111426531085,0.01100826642797844,ssd,*,beegfs,*,*,"10,5"
5,28,651.8490265207549,669.9803990052247,109.04528386795735,0.16728610373169797,604.1132218507951,719.6949770051997,419.9424846813102,901.9733153176438,0.23913925701718078,0.20789833425109056,0.003496968650481837,0.2778780923787824,0.7573637746795395,0.06652196589380156,beegfs,*,"ssd,tmpfs",*,"beegfs,ssd","10,5"
6,13,655.2131097828237,682.1655673533118,51.53068701666039,0.07864721606950248,604.2926817845386,697.3997671602843,546.3440222757167,699.1309984913871,0.02934025241543971,0.11255080356790752,0.15745738787904245,0.08399036981450736,0.8132023595819635,0.019829776764161134,ssd,*,beegfs,*,*,2
7,8,735.3859502495214,768.0822040028222,70.32343515509099,0.09562792861521188,732.7539206361771,778.1749918263258,616.4733257256132,778.8290547490593,0.017231838453406628,0.3577985828946031,0.023605288977905287,0.12439386980519875,0.9591628715562254,0.00909366753376971,tmpfs,tmpfs,beegfs,*,*,"10,5"
8,16,799.8371849063153,800.1839480691535,100.12087645807173,0.1251765713665824,781.4365541952156,891.9454089576491,587.0049258543927,895.4202122161387,0.0008535997720917863,0.9351778452326552,0.024643621516083306,0.16553007720560403,0.974502778681373,0.004660811814352105,tmpfs,beegfs,"ssd,tmpfs",*,*,"10,5"
9,4,766.4272162936298,803.8636015562828,75.51929791512038,0.0985342069144212,765.9730497157141,804.3177681341986,653.1508648158854,804.8307972460685,0.025682434204113588,0.14027171887113005,0.05436911805828913,0.10724787404402776,0.9199484463813267,0.010130427145110591,tmpfs,tmpfs,beegfs,*,*,2
10,8,813.4500993409712,813.584953985156,76.36406110160227,0.09387676166426161,754.6070171247208,872.0234722688521,724.7918109335089,902.3780970368032,0.1874750640553555,0.14496288287986564,0.0028847197038088827,0.14988920173533168,0.809640215794711,0.03387277742083791,beegfs,*,tmpfs,*,tmpfs,"10,5"
11,8,825.0450978650558,823.9387441494274,103.50212246546967,0.12545026051702987,807.3953014715136,918.0264903073173,614.0882001013649,919.1352644340824,0.0013990766438079006,0.9135023245891976,0.054357952484927426,0.14354967060260532,0.9442429704330546,0.008979085371436818,tmpfs,beegfs,"ssd,tmpfs",*,*,2
12,26,948.6797803829364,952.9929861678995,93.68003074106693,0.09874778895704175,936.9646505879554,1018.5843438375424,727.579894802569,1035.8521924766846,0.0007224533803465607,0.9093655055921066,0.019199448239568997,0.1385444220207833,0.980078097997895,0.003079807475773631,ssd,*,"ssd,tmpfs",*,*,"10,5"
13,8,1027.2038059714628,1026.0974522558342,103.50212246546977,0.10076103871868365,1009.5540095779202,1120.1851984137243,816.2469082077716,1121.2939725404894,0.0011062995746349532,0.8996550148075725,0.10268432316697915,0.11190033208628504,0.8962093768042511,0.013388921899119676,ssd,beegfs,"ssd,tmpfs",*,*,2
14,10,1091.8730384232829,1103.6653440720195,118.52213237685581,0.10854937177312067,1046.845056053775,1196.0855428911784,894.1197937765448,1228.040963810447,0.0011995762072058,0.7475302876436039,0.06968308851765248,0.4741516482837493,0.9291173348961304,0.03563023461511818,"ssd,tmpfs","ssd,tmpfs","ssd,tmpfs",*,*,2
15,10,1109.6603141937849,1200.7877663702411,129.23635299172034,0.11646478777211747,1042.5418880533655,1202.9309885923024,895.9106252307572,1204.325911592503,0.0007621205201123995,0.6792542975077639,0.01756531412438354,0.14775350619083646,0.9816725646435692,0.003039655209205599,tmpfs,tmpfs,"ssd,tmpfs",*,*,"10,5"
16,17,1572.763938171868,1574.449225698499,85.70354154771204,0.05449231093595087,1495.129200490847,1588.92032468242,1437.1805409820258,1726.1291581286823,0.9156464449741158,0.05310885550713208,0.0005329377511368194,1.3611651904015198,0.08382061731870283,0.5822923042695435,beegfs,*,beegfs,*,*,2
17,18,1954.5943802192935,1966.3435552095305,122.31609054371148,0.06257875893922726,1905.8095514387342,2011.3048739939923,1707.0834269140807,2149.2919251313915,0.7283019321471988,0.06382259247399821,0.0014676662503035804,0.323952036309961,0.27023040152251426,0.17218324791454892,beegfs,*,"ssd,tmpfs",*,*,2
