region,nodes,total,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,regret_vs_global_best
0,10,140.44533390595524,beegfs,beegfs,beegfs,beegfs,beegfs,0.0
0,5,187.9800226083719,beegfs,beegfs,beegfs,beegfs,beegfs,47.53468870241667
0,10,190.2607714500305,beegfs,ssd,beegfs,beegfs,beegfs,49.81543754407525
0,10,197.78400590960132,beegfs,beegfs,beegfs,beegfs,ssd,57.33867200364608
0,10,197.78444426795872,beegfs,beegfs,beegfs,ssd,beegfs,57.33911036200348
0,10,197.78444426795872,beegfs,beegfs,beegfs,ssd,ssd,57.33911036200348
0,5,237.79546015244716,beegfs,ssd,beegfs,beegfs,beegfs,97.35012624649193
0,5,245.19132135992513,beegfs,beegfs,beegfs,ssd,beegfs,104.74598745396989
0,5,245.19132135992513,beegfs,beegfs,beegfs,ssd,ssd,104.74598745396989
0,5,245.318694612018,beegfs,beegfs,beegfs,beegfs,ssd,104.87336070606275
0,10,247.51675894288837,beegfs,ssd,beegfs,beegfs,ssd,107.07142503693314
0,10,247.51719730124577,beegfs,ssd,beegfs,ssd,beegfs,107.07186339529053
0,10,247.51719730124577,beegfs,ssd,beegfs,ssd,ssd,107.07186339529053
1,10,277.71401862242857,beegfs,tmpfs,beegfs,beegfs,beegfs,137.26868471647333
0,10,291.9873795258305,beegfs,beegfs,beegfs,tmpfs,tmpfs,151.54204561987524
0,10,292.04300930040097,beegfs,beegfs,beegfs,tmpfs,beegfs,151.59767539444573
0,10,292.1851176063494,beegfs,beegfs,beegfs,beegfs,tmpfs,151.73978370039418
0,10,292.4867392907923,beegfs,beegfs,beegfs,tmpfs,ssd,152.04140538483705
0,10,292.62276097480725,beegfs,beegfs,beegfs,ssd,tmpfs,152.177427068852
0,5,294.9240743932122,beegfs,ssd,beegfs,ssd,beegfs,154.47874048725697
0,5,294.9240743932122,beegfs,ssd,beegfs,ssd,ssd,154.47874048725697
0,5,295.0514476453051,beegfs,ssd,beegfs,beegfs,ssd,154.60611373934984
2,10,307.50777507903786,tmpfs,beegfs,beegfs,beegfs,beegfs,167.06244117308262
2,5,318.1835716723008,tmpfs,beegfs,beegfs,beegfs,beegfs,177.73823776634555
1,5,325.24870732484527,beegfs,tmpfs,beegfs,beegfs,beegfs,184.80337341889003
0,5,338.9826496515079,beegfs,beegfs,beegfs,tmpfs,tmpfs,198.5373157455527
0,5,339.3150245896068,beegfs,beegfs,beegfs,tmpfs,beegfs,198.86969068365158
0,5,339.48200941646974,beegfs,beegfs,beegfs,tmpfs,ssd,199.0366755105145
0,5,339.7198063087661,beegfs,beegfs,beegfs,beegfs,tmpfs,199.2744724028109
0,5,340.02963806677366,beegfs,beegfs,beegfs,ssd,tmpfs,199.58430416081842
3,2,344.18531416931,tmpfs,beegfs,beegfs,beegfs,beegfs,203.73998026335477
2,10,364.8464470826839,tmpfs,beegfs,beegfs,beegfs,ssd,224.40111317672864
2,10,364.8468854410413,tmpfs,beegfs,beegfs,ssd,beegfs,224.40155153508607
2,10,364.8468854410413,tmpfs,beegfs,beegfs,ssd,ssd,224.40155153508607
2,5,375.39487042385394,tmpfs,beegfs,beegfs,ssd,beegfs,234.9495365178987
2,5,375.39487042385394,tmpfs,beegfs,beegfs,ssd,ssd,234.9495365178987
2,5,375.5222436759468,tmpfs,beegfs,beegfs,beegfs,ssd,235.07690976999157
3,2,401.523986172956,tmpfs,beegfs,beegfs,beegfs,ssd,261.07865226700073
3,2,402.1339736781318,tmpfs,beegfs,beegfs,ssd,beegfs,261.68863977217654
3,2,402.1339736781318,tmpfs,beegfs,beegfs,ssd,ssd,261.68863977217654
5,10,419.9424846813102,beegfs,beegfs,tmpfs,beegfs,beegfs,279.49715077535495
1,10,429.1962129720928,beegfs,tmpfs,beegfs,tmpfs,tmpfs,288.75087906613754
1,10,429.2518427466633,beegfs,tmpfs,beegfs,tmpfs,beegfs,288.8065088407081
1,10,429.3939510526117,beegfs,tmpfs,beegfs,beegfs,tmpfs,288.9486171466565
4,10,448.08274402721406,ssd,beegfs,beegfs,beegfs,beegfs,307.6374101212588
4,5,458.61555193284664,ssd,beegfs,beegfs,beegfs,beegfs,318.1702180268914
2,10,459.0498206989131,tmpfs,beegfs,beegfs,tmpfs,tmpfs,318.60448679295786
2,10,459.10545047348353,tmpfs,beegfs,beegfs,tmpfs,beegfs,318.6601165675283
2,10,459.247558779432,tmpfs,beegfs,beegfs,beegfs,tmpfs,318.80222487347675
2,10,459.5491804638749,tmpfs,beegfs,beegfs,tmpfs,ssd,319.10384655791967
2,10,459.6852021478898,tmpfs,beegfs,beegfs,ssd,tmpfs,319.2398682419346
5,5,460.1695988194922,beegfs,beegfs,tmpfs,beegfs,beegfs,319.72426491353696
2,5,469.1861987154368,tmpfs,beegfs,beegfs,tmpfs,tmpfs,328.74086480948154
2,5,469.51857365353567,tmpfs,beegfs,beegfs,tmpfs,beegfs,329.07323974758043
5,10,469.6570626812852,beegfs,ssd,tmpfs,beegfs,beegfs,329.21172877532996
2,5,469.6855584803986,tmpfs,beegfs,beegfs,tmpfs,ssd,329.24022457444335
2,5,469.9233553726949,tmpfs,beegfs,beegfs,beegfs,tmpfs,329.4780214667397
2,5,470.2331871307025,tmpfs,beegfs,beegfs,ssd,tmpfs,329.78785322474727
1,5,476.1914830977703,beegfs,tmpfs,beegfs,tmpfs,tmpfs,335.74614919181505
1,5,476.5238580358691,beegfs,tmpfs,beegfs,tmpfs,beegfs,336.0785241299139
1,5,476.9286397550284,beegfs,tmpfs,beegfs,beegfs,tmpfs,336.4833058490732
3,2,494.6747453059593,tmpfs,beegfs,beegfs,tmpfs,tmpfs,354.22941140000404
3,2,495.2410590538775,tmpfs,beegfs,beegfs,tmpfs,beegfs,354.79572514792227
3,2,495.3653069959598,tmpfs,beegfs,beegfs,tmpfs,ssd,354.9199730900046
3,2,495.92509786970413,tmpfs,beegfs,beegfs,beegfs,tmpfs,355.4797639637489
3,2,496.9722903849803,tmpfs,beegfs,beegfs,ssd,tmpfs,356.52695647902505
4,10,505.4214160308602,ssd,beegfs,beegfs,beegfs,ssd,364.97608212490496
4,10,505.4218543892176,ssd,beegfs,beegfs,ssd,beegfs,364.97652048326233
4,10,505.4218543892176,ssd,beegfs,beegfs,ssd,ssd,364.97652048326233
5,5,509.88417681946714,beegfs,ssd,tmpfs,beegfs,beegfs,369.4388429135119
4,5,515.8268506843998,ssd,beegfs,beegfs,ssd,beegfs,375.38151677844456
4,5,515.8268506843998,ssd,beegfs,beegfs,ssd,ssd,375.38151677844456
4,5,515.9542239364928,ssd,beegfs,beegfs,beegfs,ssd,375.50889003053754
4,10,526.0383141067755,ssd,ssd,beegfs,beegfs,beegfs,385.59298020082025
4,5,536.571122012408,ssd,ssd,beegfs,beegfs,beegfs,396.1257881064527
6,2,546.3440222757167,ssd,beegfs,beegfs,beegfs,beegfs,405.8986883697615
5,10,557.1039185659035,beegfs,tmpfs,tmpfs,beegfs,beegfs,416.6585846599483
5,10,565.5933101861543,beegfs,beegfs,ssd,beegfs,beegfs,425.1479762801991
4,10,583.2943015996334,ssd,ssd,beegfs,beegfs,ssd,442.84896769367816
4,10,583.2947399579907,ssd,ssd,beegfs,ssd,beegfs,442.8494060520355
4,10,583.2947399579907,ssd,ssd,beegfs,ssd,ssd,442.8494060520355
8,10,587.0049258543927,tmpfs,beegfs,tmpfs,beegfs,beegfs,446.55959194843746
8,5,590.3731478834211,tmpfs,beegfs,tmpfs,beegfs,beegfs,449.92781397746586
4,5,593.699736253173,ssd,ssd,beegfs,ssd,beegfs,453.25440234721776
4,5,593.699736253173,ssd,ssd,beegfs,ssd,ssd,453.25440234721776
4,5,593.827109505266,ssd,ssd,beegfs,beegfs,ssd,453.38177559931074
5,5,597.3310327040855,beegfs,tmpfs,tmpfs,beegfs,beegfs,456.88569879813025
4,10,599.6247896470893,ssd,beegfs,beegfs,tmpfs,tmpfs,459.17945574113406
4,10,599.6804194216598,ssd,beegfs,beegfs,tmpfs,beegfs,459.2350855157046
4,10,599.8225277276083,ssd,beegfs,beegfs,beegfs,tmpfs,459.37719382165307
4,10,600.1241494120511,ssd,beegfs,beegfs,tmpfs,ssd,459.6788155060959
4,10,600.2601710960661,ssd,beegfs,beegfs,ssd,tmpfs,459.81483719011084
6,2,603.6826942793627,ssd,beegfs,beegfs,beegfs,ssd,463.2373603734075
6,2,604.2926817845386,ssd,beegfs,beegfs,ssd,beegfs,463.8473478785833
6,2,604.2926817845386,ssd,beegfs,beegfs,ssd,ssd,463.8473478785833
5,5,606.3739515663649,beegfs,beegfs,ssd,beegfs,beegfs,465.92861766040966
4,5,609.6181789759827,ssd,beegfs,beegfs,tmpfs,tmpfs,469.17284507002745
4,5,609.9505539140815,ssd,beegfs,beegfs,tmpfs,beegfs,469.5052200081263
4,5,610.1175387409445,ssd,beegfs,beegfs,tmpfs,ssd,469.67220483498926
4,5,610.3553356332408,ssd,beegfs,beegfs,beegfs,tmpfs,469.91000172728553
4,5,610.6651673912484,ssd,beegfs,beegfs,ssd,tmpfs,470.2198334852931
11,2,614.0882001013649,tmpfs,beegfs,tmpfs,beegfs,beegfs,473.6428661954097
5,10,615.3078881861293,beegfs,ssd,ssd,beegfs,beegfs,474.86255428017404
7,10,616.4733257256132,tmpfs,tmpfs,beegfs,beegfs,beegfs,476.027991819658
6,2,624.299592355278,ssd,ssd,beegfs,beegfs,beegfs,483.8542584493228
7,5,627.1491223188762,tmpfs,tmpfs,beegfs,beegfs,beegfs,486.7037884129209
5,10,629.3271308771072,beegfs,beegfs,ssd,beegfs,ssd,488.8817969711519
5,10,629.3275692354645,beegfs,beegfs,ssd,ssd,beegfs,488.88223532950923
5,10,629.3275692354645,beegfs,beegfs,ssd,ssd,ssd,488.88223532950923
9,2,653.1508648158854,tmpfs,tmpfs,beegfs,beegfs,beegfs,512.7055309099301
5,5,656.0885295663397,beegfs,ssd,ssd,beegfs,beegfs,515.6431956603844
5,5,669.9803990052247,beegfs,beegfs,ssd,ssd,beegfs,529.5350650992696
5,5,669.9803990052247,beegfs,beegfs,ssd,ssd,ssd,529.5350650992696
5,5,670.1077722573176,beegfs,beegfs,ssd,beegfs,ssd,529.6624383513624
5,10,679.0417088770821,beegfs,ssd,ssd,beegfs,ssd,538.5963749711268
5,10,679.0421472354394,beegfs,ssd,ssd,ssd,beegfs,538.5968133294841
5,10,679.0421472354394,beegfs,ssd,ssd,ssd,ssd,538.5968133294841
6,2,681.555579848136,ssd,ssd,beegfs,beegfs,ssd,541.1102459421807
6,2,682.1655673533118,ssd,ssd,beegfs,ssd,beegfs,541.7202334473566
6,2,682.1655673533118,ssd,ssd,beegfs,ssd,ssd,541.7202334473566
6,2,696.8334534123661,ssd,beegfs,beegfs,tmpfs,tmpfs,556.3881195064109
6,2,697.3997671602843,ssd,beegfs,beegfs,tmpfs,beegfs,556.9544332543292
6,2,697.5240151023665,ssd,beegfs,beegfs,tmpfs,ssd,557.0786811964113
6,2,698.0838059761109,ssd,beegfs,beegfs,beegfs,tmpfs,557.6384720701556
6,2,699.1309984913871,ssd,beegfs,beegfs,ssd,tmpfs,558.6856645854318
5,10,702.7547440707476,beegfs,tmpfs,ssd,beegfs,beegfs,562.3094101647923
5,5,719.6949770051997,beegfs,ssd,ssd,ssd,beegfs,579.2496430992444
5,5,719.6949770051997,beegfs,ssd,ssd,ssd,ssd,579.2496430992444
5,5,719.8223502572926,beegfs,ssd,ssd,beegfs,ssd,579.3770163513373
10,10,724.7918109335089,beegfs,beegfs,tmpfs,tmpfs,tmpfs,584.3464770275536
5,10,724.8474407080794,beegfs,beegfs,tmpfs,tmpfs,beegfs,584.4021068021241
10,10,724.9895490140278,beegfs,beegfs,tmpfs,beegfs,tmpfs,584.5442151080726
12,10,727.579894802569,ssd,beegfs,tmpfs,beegfs,beegfs,587.1345608966137
12,5,730.8051281439668,ssd,beegfs,tmpfs,beegfs,beegfs,590.3597942380115
8,10,732.6557513592369,tmpfs,beegfs,ssd,beegfs,beegfs,592.2104174532817
8,5,736.5775006302937,tmpfs,beegfs,ssd,beegfs,beegfs,596.1321667243385
5,5,743.5353854509581,beegfs,tmpfs,ssd,beegfs,beegfs,603.0900515450028
11,2,759.594935953299,tmpfs,beegfs,ssd,beegfs,beegfs,619.1496020473437
10,5,764.4795064949517,beegfs,beegfs,tmpfs,tmpfs,tmpfs,624.0341725889964
5,5,764.8118814330505,beegfs,beegfs,tmpfs,tmpfs,beegfs,624.3665475270952
10,5,765.2166631522098,beegfs,beegfs,tmpfs,beegfs,tmpfs,624.7713292462545
7,10,767.9555200752775,tmpfs,tmpfs,beegfs,tmpfs,tmpfs,627.5101861693222
7,10,768.0111498498479,tmpfs,tmpfs,beegfs,tmpfs,beegfs,627.5658159438926
7,10,768.1532581557964,tmpfs,tmpfs,beegfs,beegfs,tmpfs,627.7079242498412
7,5,778.0918980918011,tmpfs,tmpfs,beegfs,tmpfs,tmpfs,637.6465641858458
7,5,778.4242730299001,tmpfs,tmpfs,beegfs,tmpfs,beegfs,637.9789391239449
7,5,778.8290547490593,tmpfs,tmpfs,beegfs,beegfs,tmpfs,638.3837208431041
8,10,796.3895720501897,tmpfs,beegfs,ssd,beegfs,ssd,655.9442381442345
8,10,796.3900104085471,tmpfs,beegfs,ssd,ssd,beegfs,655.9446765025918
8,10,796.3900104085471,tmpfs,beegfs,ssd,ssd,ssd,655.9446765025918
8,5,800.1839480691535,tmpfs,beegfs,ssd,ssd,beegfs,659.7386141631982
8,5,800.1839480691535,tmpfs,beegfs,ssd,ssd,ssd,659.7386141631982
8,5,800.3113213212465,tmpfs,beegfs,ssd,beegfs,ssd,659.8659874152913
9,2,803.5804446823237,tmpfs,tmpfs,beegfs,tmpfs,tmpfs,663.1351107763685
9,2,804.1467584302419,tmpfs,tmpfs,beegfs,tmpfs,beegfs,663.7014245242867
9,2,804.8307972460685,tmpfs,tmpfs,beegfs,beegfs,tmpfs,664.3854633401133
12,10,805.4527803713422,ssd,ssd,tmpfs,beegfs,beegfs,665.0074464653869
12,5,808.67801371274,ssd,ssd,tmpfs,beegfs,beegfs,668.2326798067847
13,2,816.2469082077716,ssd,beegfs,tmpfs,beegfs,beegfs,675.8015743018163
11,2,823.3287566442517,tmpfs,beegfs,ssd,beegfs,ssd,682.8834227382965
11,2,823.9387441494274,tmpfs,beegfs,ssd,ssd,beegfs,683.4934102434722
11,2,823.9387441494274,tmpfs,beegfs,ssd,ssd,ssd,683.4934102434722
10,10,861.9532448181021,beegfs,tmpfs,tmpfs,tmpfs,tmpfs,721.5079109121468
5,10,862.0088745926727,beegfs,tmpfs,tmpfs,tmpfs,beegfs,721.5635406867175
10,10,862.1509828986211,beegfs,tmpfs,tmpfs,beegfs,tmpfs,721.7056489926658
12,10,873.2307203074131,ssd,beegfs,ssd,beegfs,beegfs,732.7853864014578
12,5,877.0094808908394,ssd,beegfs,ssd,beegfs,beegfs,736.5641469848842
8,10,891.8542521065915,tmpfs,beegfs,tmpfs,tmpfs,tmpfs,751.4089182006362
8,10,891.9098818811619,tmpfs,beegfs,tmpfs,tmpfs,beegfs,751.4645479752066
8,10,892.0519901871103,tmpfs,beegfs,tmpfs,beegfs,tmpfs,751.606656281155
14,2,894.1197937765448,ssd,ssd,tmpfs,beegfs,beegfs,753.6744598705895
8,5,894.6830555588805,tmpfs,beegfs,tmpfs,tmpfs,tmpfs,754.2377216529253
8,5,895.0154304969794,tmpfs,beegfs,tmpfs,tmpfs,beegfs,754.5700965910241
8,5,895.4202122161387,tmpfs,beegfs,tmpfs,beegfs,tmpfs,754.9748783101834
15,10,895.9106252307572,tmpfs,tmpfs,tmpfs,beegfs,beegfs,755.4652913248019
15,5,899.2788472597854,tmpfs,tmpfs,tmpfs,beegfs,beegfs,758.8335133538301
10,5,901.6409403795448,beegfs,tmpfs,tmpfs,tmpfs,tmpfs,761.1956064735896
5,5,901.9733153176438,beegfs,tmpfs,tmpfs,tmpfs,beegfs,761.5279814116886
10,5,902.3780970368032,beegfs,tmpfs,tmpfs,beegfs,tmpfs,761.9327631308479
11,2,917.8849118703378,tmpfs,beegfs,tmpfs,tmpfs,tmpfs,777.4395779643826
11,2,918.451225618256,tmpfs,beegfs,tmpfs,tmpfs,beegfs,778.0058917123008
11,2,919.1352644340824,tmpfs,beegfs,tmpfs,beegfs,tmpfs,778.6899305281272
14,2,922.9938994777292,tmpfs,tmpfs,tmpfs,beegfs,beegfs,782.5485655717739
12,10,936.964540998366,ssd,beegfs,ssd,beegfs,ssd,796.5192070924109
12,10,936.9649793567232,ssd,beegfs,ssd,ssd,beegfs,796.5196454507679
12,10,936.9649793567232,ssd,beegfs,ssd,ssd,ssd,796.5196454507679
12,5,940.6159283296996,ssd,beegfs,ssd,ssd,beegfs,800.1705944237444
12,5,940.6159283296996,ssd,beegfs,ssd,ssd,ssd,800.1705944237444
12,5,940.7433015817924,ssd,beegfs,ssd,beegfs,ssd,800.2979676758371
12,10,951.1036058761864,ssd,ssd,ssd,beegfs,beegfs,810.6582719702312
12,5,954.8823664596126,ssd,ssd,ssd,beegfs,beegfs,814.4370325536574
13,2,961.7536440597056,ssd,beegfs,ssd,beegfs,beegfs,821.3083101537504
12,10,1014.8374265671392,ssd,ssd,ssd,beegfs,ssd,874.392092661184
12,10,1014.8378649254964,ssd,ssd,ssd,ssd,beegfs,874.3925310195411
12,10,1014.8378649254964,ssd,ssd,ssd,ssd,ssd,874.3925310195411
12,5,1018.4888138984728,ssd,ssd,ssd,ssd,beegfs,878.0434799925176
12,5,1018.4888138984728,ssd,ssd,ssd,ssd,ssd,878.0434799925176
12,5,1018.6161871505656,ssd,ssd,ssd,beegfs,ssd,878.1708532446103
13,2,1025.4874647506583,ssd,beegfs,ssd,beegfs,ssd,885.042130844703
13,2,1026.0974522558342,ssd,beegfs,ssd,ssd,beegfs,885.652118349879
13,2,1026.0974522558342,ssd,beegfs,ssd,ssd,ssd,885.652118349879
12,10,1032.4292210547678,ssd,beegfs,tmpfs,tmpfs,tmpfs,891.9838871488125
12,10,1032.4848508293385,ssd,beegfs,tmpfs,tmpfs,beegfs,892.0395169233832
12,10,1032.6269591352866,ssd,beegfs,tmpfs,beegfs,tmpfs,892.1816252293313
12,5,1035.1150358194263,ssd,beegfs,tmpfs,tmpfs,tmpfs,894.669701913471
12,5,1035.4474107575252,ssd,beegfs,tmpfs,tmpfs,beegfs,895.0020768515699
12,5,1035.8521924766846,ssd,beegfs,tmpfs,beegfs,tmpfs,895.4068585707294
14,2,1039.6265296284787,ssd,ssd,ssd,beegfs,beegfs,899.1811957225234
15,10,1041.5614507356013,tmpfs,tmpfs,ssd,beegfs,beegfs,901.116116829646
15,5,1045.483200006658,tmpfs,tmpfs,ssd,beegfs,beegfs,905.0378661007028
14,2,1068.5006353296633,tmpfs,tmpfs,ssd,beegfs,beegfs,928.055301423708
14,2,1103.3603503194315,ssd,ssd,ssd,beegfs,ssd,962.9150164134762
14,2,1103.9703378246074,ssd,ssd,ssd,ssd,beegfs,963.5250039186521
14,2,1103.9703378246074,ssd,ssd,ssd,ssd,ssd,963.5250039186521
13,2,1120.0436199767446,ssd,beegfs,tmpfs,tmpfs,tmpfs,979.5982860707893
13,2,1120.6099337246628,ssd,beegfs,tmpfs,tmpfs,beegfs,980.1645998187075
13,2,1121.2939725404894,ssd,beegfs,tmpfs,beegfs,tmpfs,980.8486386345342
15,10,1200.7599514829558,tmpfs,tmpfs,tmpfs,tmpfs,tmpfs,1060.3146175770005
15,10,1200.8155812575264,tmpfs,tmpfs,tmpfs,tmpfs,beegfs,1060.3702473515712
15,10,1200.9576895634748,tmpfs,tmpfs,tmpfs,beegfs,tmpfs,1060.5123556575195
15,5,1203.5887549352449,tmpfs,tmpfs,tmpfs,tmpfs,tmpfs,1063.1434210292896
15,5,1203.9211298733435,tmpfs,tmpfs,tmpfs,tmpfs,beegfs,1063.4757959673882
15,5,1204.325911592503,tmpfs,tmpfs,tmpfs,beegfs,tmpfs,1063.8805776865477
14,2,1226.7906112467022,tmpfs,tmpfs,tmpfs,tmpfs,tmpfs,1086.3452773407469
14,2,1227.3569249946204,tmpfs,tmpfs,tmpfs,tmpfs,beegfs,1086.911591088665
14,2,1228.040963810447,tmpfs,tmpfs,tmpfs,beegfs,tmpfs,1087.5956299044917
16,2,1437.1805409820258,beegfs,beegfs,beegfs,beegfs,beegfs,1296.7352070760705
16,2,1486.995978526101,beegfs,ssd,beegfs,beegfs,beegfs,1346.5506446201457
16,2,1494.519212985672,beegfs,beegfs,beegfs,beegfs,ssd,1354.0738790797168
16,2,1495.129200490847,beegfs,beegfs,beegfs,ssd,beegfs,1354.6838665848918
16,2,1495.129200490847,beegfs,beegfs,beegfs,ssd,ssd,1354.6838665848918
16,2,1544.251966018959,beegfs,ssd,beegfs,beegfs,ssd,1403.8066321130036
16,2,1544.8619535241346,beegfs,ssd,beegfs,ssd,beegfs,1404.4166196181793
16,2,1544.8619535241346,beegfs,ssd,beegfs,ssd,ssd,1404.4166196181793
16,2,1574.449225698499,beegfs,tmpfs,beegfs,beegfs,beegfs,1434.0038917925438
16,2,1587.669972118675,beegfs,beegfs,beegfs,tmpfs,tmpfs,1447.2246382127198
