nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap,lam_read_beegfs,lam_write_beegfs,lam_read_ssd,lam_write_ssd,lam_read_tmpfs,lam_write_tmpfs,lam_in_total,lam_out_total,exec_beegfs_share,exec_local_share,movement_share,region_provisional,region
10,140.44533390595524,0.0,0.0,0.0,131.5655812855105,8.03985426189517,0.8398983585495854,0.0,0.0,0.0,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),beegfs,beegfs,beegfs,beegfs,beegfs,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.0,0.0,8.038011,0.001843,0.0,0.0,0.628339,0.211559,0.0,0.0,0.476881,0.058366,0.0,140.22329800000003,0.222036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33,0
5,187.9800226083719,0.0,0.0,0.0,170.95130777733235,15.63347644527368,1.3952383857659216,0.0,0.0,0.0,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->read_frequency(2)->write_frequency(2),beegfs,beegfs,beegfs,beegfs,beegfs,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.0,0.0,15.630523,0.002954,0.0,0.0,0.994285,0.400953,0.0,0.0,0.731962,0.095951,0.0,187.562638,0.417385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33,0
10,190.2607714500305,0.0,0.0181750333120701,0.0,131.5655812855105,8.03985426189517,0.8398983585495854,49.71457799997497,0.0826845107881706,0.0,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(30)->read_frequency(1)->write_frequency(1),beegfs,ssd,beegfs,beegfs,beegfs,0.0,131.556948,0.008634,49.714578,0.018175,0.05454,0.010549,0.082685,0.0,8.038011,0.001843,0.0,0.0,0.628339,0.211559,0.0,0.0,0.476881,0.058366,0.0,140.22329800000003,0.222036,0.0,0.0,0.0,0.0,0.018175,49.797263,0.7381728399902207,0.0,0.2618271629003834,33,0
10,197.78400590960132,0.0,0.0,0.1133218168415363,131.5655812855105,8.03985426189517,0.8398983585495854,0.0,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(17),beegfs,beegfs,beegfs,beegfs,ssd,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.018175,0.0,8.038011,0.001843,55.92999,0.0,0.628339,0.211559,0.0,0.113322,0.092998,0.154651,1.29536,140.22329800000003,0.222036,0.0,0.0,0.0,0.0,0.113322,57.22535,0.7100944960341785,0.0,0.2899055044228742,33,0
10,197.78444426795872,0.0,0.0,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,0.0,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,beegfs,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.018175,0.0,8.038011,0.001843,55.92999,0.175477,0.211945,0.566237,1.29536,0.0,0.476881,0.058366,0.0,139.59495900000002,0.010477,0.211945,0.566237,0.0,0.0,0.175477,57.22535,0.7058463900773796,0.003934495469955735,0.29021911815386736,33,0
10,197.78444426795872,0.0,0.0,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,0.0,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,ssd,0.0,131.556948,0.008634,0.0,0.0,0.211195,0.003812,0.018175,0.0,8.038011,0.001843,55.92999,0.175477,0.211945,0.566237,1.29536,0.113322,0.092998,0.154651,1.29536,139.59495900000002,0.010477,0.211945,0.566237,0.0,0.0,0.175477,57.22535,0.7058463900773796,0.003934495469955735,0.29021911815386736,33,0
5,237.79546015244716,0.0,0.0181750333120701,0.0,170.95130777733235,15.63347644527368,1.3952383857659216,49.71457799997497,0.0826845107881706,0.0,read_individuals(60)->write_individuals(60)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(2)->write_sifting(2)->stage_out_individuals_merge(30)->read_frequency(2)->write_frequency(2),beegfs,ssd,beegfs,beegfs,beegfs,0.0,170.93783,0.013478,49.714578,0.018175,0.089313,0.014552,0.082685,0.0,15.630523,0.002954,0.0,0.0,0.994285,0.400953,0.0,0.0,0.731962,0.095951,0.0,187.562638,0.417385,0.0,0.0,0.0,0.0,0.018175,49.797263,0.7905114037058907,0.0,0.20948859985831458,33,0
5,245.19132135992513,0.0,0.0,0.1754765717028859,170.95130777733235,15.63347644527368,1.2057103788116597,0.0,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,beegfs,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.018175,0.0,15.630523,0.002954,55.92999,0.175477,0.328613,0.877097,1.29536,0.0,0.731962,0.095951,0.0,186.568353,0.016432000000000002,0.328613,0.877097,0.0,0.0,0.175477,57.22535,0.7609763019552587,0.004917425271468276,0.23410627538378095,33,0
5,245.19132135992513,0.0,0.0,0.1754765717028859,170.95130777733235,15.63347644527368,1.2057103788116597,0.0,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,ssd,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.018175,0.0,15.630523,0.002954,55.92999,0.175477,0.328613,0.877097,1.29536,0.113322,0.15855,0.211889,1.29536,186.568353,0.016432000000000002,0.328613,0.877097,0.0,0.0,0.175477,57.22535,0.7609763019552587,0.004917425271468276,0.23410627538378095,33,0
5,245.318694612018,0.0,0.0,0.1133218168415363,170.95130777733235,15.63347644527368,1.3952383857659216,0.0,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(17),beegfs,beegfs,beegfs,beegfs,ssd,0.0,170.93783,0.013478,0.0,0.0,0.379853,0.005983,0.018175,0.0,15.630523,0.002954,55.92999,0.0,0.994285,0.400953,0.0,0.113322,0.15855,0.211889,1.29536,187.562638,0.417385,0.0,0.0,0.0,0.0,0.113322,57.22535,0.7662686420914544,0.0,0.23373135949008422,33,0
