nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap
10,140.44533390595524,0.0,0.0,0.0,131.5655812855105,8.03985426189517,0.8398983585495854,0.0,0.0,0.0,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),beegfs,beegfs,beegfs,beegfs,beegfs,-,131.556948,0.008634,-,-,0.211195,0.003812,-,-,8.038011,0.001843,-,-,0.628339,0.211559,-,-,0.476881,0.058366,-
5,187.98002260837194,0.0,0.0,0.0,170.95130777733235,15.63347644527368,1.3952383857659216,0.0,0.0,0.0,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->read_frequency(2)->write_frequency(2),beegfs,beegfs,beegfs,beegfs,beegfs,-,170.937830,0.013478,-,-,0.379853,0.005983,-,-,15.630523,0.002954,-,-,0.994285,0.400953,-,-,0.731962,0.095951,-
10,190.26077145003046,0.0,0.0181750333120701,0.0,131.5655812855105,8.03985426189517,0.8398983585495854,49.71457799997497,0.0826845107881706,0.0,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(30)->read_frequency(1)->write_frequency(1),beegfs,ssd,beegfs,beegfs,beegfs,-,131.556948,0.008634,49.714578,0.018175,0.054540,0.010549,0.082685,-,8.038011,0.001843,-,-,0.628339,0.211559,-,-,0.476881,0.058366,-
10,197.78400590960132,0.0,0.0,0.1133218168415363,131.5655812855105,8.03985426189517,0.8398983585495854,0.0,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(17),beegfs,beegfs,beegfs,beegfs,ssd,-,131.556948,0.008634,-,-,0.211195,0.003812,0.018175,-,8.038011,0.001843,55.929990,-,0.628339,0.211559,-,0.113322,0.092998,0.154651,1.295360
10,197.78444426795872,0.0,0.0,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,0.0,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,beegfs,-,131.556948,0.008634,-,-,0.211195,0.003812,0.018175,-,8.038011,0.001843,55.929990,0.175477,0.211945,0.566237,1.295360,-,0.476881,0.058366,-
10,197.78444426795872,0.0,0.0,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,0.0,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,ssd,-,131.556948,0.008634,-,-,0.211195,0.003812,0.018175,-,8.038011,0.001843,55.929990,0.175477,0.211945,0.566237,1.295360,0.113322,0.092998,0.154651,1.295360
5,237.79546015244716,0.0,0.0181750333120701,0.0,170.95130777733235,15.63347644527368,1.3952383857659216,49.71457799997497,0.0826845107881706,0.0,read_individuals(60)->write_individuals(60)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(2)->write_sifting(2)->stage_out_individuals_merge(30)->read_frequency(2)->write_frequency(2),beegfs,ssd,beegfs,beegfs,beegfs,-,170.937830,0.013478,49.714578,0.018175,0.089313,0.014552,0.082685,-,15.630523,0.002954,-,-,0.994285,0.400953,-,-,0.731962,0.095951,-
5,245.19132135992513,0.0,0.0,0.1754765717028859,170.95130777733235,15.63347644527368,1.2057103788116597,0.0,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,beegfs,-,170.937830,0.013478,-,-,0.379853,0.005983,0.018175,-,15.630523,0.002954,55.929990,0.175477,0.328613,0.877097,1.295360,-,0.731962,0.095951,-
5,245.19132135992513,0.0,0.0,0.1754765717028859,170.95130777733235,15.63347644527368,1.2057103788116597,0.0,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(2)->write_frequency(2)->stage_out_frequency(17),beegfs,beegfs,beegfs,ssd,ssd,-,170.937830,0.013478,-,-,0.379853,0.005983,0.018175,-,15.630523,0.002954,55.929990,0.175477,0.328613,0.877097,1.295360,0.113322,0.158550,0.211889,1.295360
5,245.31869461201802,0.0,0.0,0.1133218168415363,170.95130777733235,15.63347644527368,1.3952383857659216,0.0,55.92999014817022,1.295360038634333,read_individuals(60)->write_individuals(60)->read_sifting(2)->write_sifting(2)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(2)->write_frequency(2)->stage_out_mutation_overlap(17),beegfs,beegfs,beegfs,beegfs,ssd,-,170.937830,0.013478,-,-,0.379853,0.005983,0.018175,-,15.630523,0.002954,55.929990,-,0.994285,0.400953,-,0.113322,0.158550,0.211889,1.295360
10,247.51675894288837,0.0,0.0181750333120701,0.1133218168415363,131.5655812855105,8.03985426189517,0.8398983585495854,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_mutation_overlap(17)->read_frequency(1)->write_frequency(1)->stage_out_mutation_overlap(17),beegfs,ssd,beegfs,beegfs,ssd,-,131.556948,0.008634,49.714578,0.018175,0.054540,0.010549,0.814689,-,8.038011,0.001843,55.929990,-,0.628339,0.211559,-,0.113322,0.092998,0.154651,1.295360
10,247.51719730124577,0.0,0.0181750333120701,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,ssd,beegfs,ssd,beegfs,-,131.556948,0.008634,49.714578,0.018175,0.054540,0.010549,0.814689,-,8.038011,0.001843,55.929990,0.175477,0.211945,0.566237,1.295360,-,0.476881,0.058366,-
10,247.51719730124577,0.0,0.0181750333120701,0.1754765717028859,131.5655812855105,8.03985426189517,0.7781819620456173,49.71457799997497,55.92999014817022,1.295360038634333,read_individuals(30)->write_individuals(30)->stage_out_individuals(30)->stage_in_individuals_merge(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(15)->stage_in_frequency(16)->read_frequency(1)->write_frequency(1)->stage_out_frequency(17),beegfs,ssd,beegfs,ssd,ssd,-,131.556948,0.008634,49.714578,0.018175,0.054540,0.010549,0.814689,-,8.038011,0.001843,55.929990,0.175477,0.211945,0.566237,1.295360,0.113322,0.092998,0.154651,1.295360
10,277.71401862242857,0.0,0.0473995616690666,0.0,131.5655812855105,8.03985426189517,0.8398983585495854,137.1614338845933,0.0598512702109638,0.0,read_individuals(30)->write_individuals(30)->stage_out_individuals(12)->stage_in_individuals_merge(12)->read_sifting(1)->write_sifting(1)->stage_out_individuals_merge(12)->read_frequency(1)->write_frequency(1),beegfs,tmpfs,beegfs,beegfs,beegfs,-,131.556948,0.008634,137.161434,0.047400,0.081373,0.001725,0.059851,-,8.038011,0.001843,-,-,0.628339,0.211559,-,-,0.476881,0.058366,-
10,291.9873795258305,0.0,0.0,0.4409873844886471,131.5655812855105,8.03985426189517,0.4796170534971776,0.0,150.6653392667665,0.796000273672508,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(1)->write_frequency(1)->stage_out_frequency(7),beegfs,beegfs,beegfs,tmpfs,tmpfs,-,131.556948,0.008634,-,-,0.211195,0.003812,0.047400,-,8.038011,0.001843,150.665339,0.440987,0.327892,0.151725,0.796000,0.278444,0.134989,0.024676,0.796000
10,292.04300930040097,0.0,0.0,0.4409873844886471,131.5655812855105,8.03985426189517,0.5352468280676657,0.0,150.6653392667665,0.796000273672508,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(1)->write_mutation_overlap(1)->stage_out_frequency(7),beegfs,beegfs,beegfs,tmpfs,beegfs,-,131.556948,0.008634,-,-,0.211195,0.003812,0.047400,-,8.038011,0.001843,150.665339,0.440987,0.327892,0.151725,0.796000,-,0.476881,0.058366,-
