region,nodes,total,openmm_stor,aggregate_stor,training_stor,inference_stor,regret_vs_global_best
2,1,4.978731761431526,tmpfs,tmpfs,tmpfs,tmpfs,0.0
2,4,4.994904654850962,tmpfs,tmpfs,tmpfs,tmpfs,0.016172893419436285
2,2,5.000053121096604,tmpfs,tmpfs,tmpfs,tmpfs,0.021321359665078532
2,1,5.713373915626097,tmpfs,tmpfs,tmpfs,beegfs,0.7346421541945718
2,4,5.729546809045534,tmpfs,tmpfs,tmpfs,beegfs,0.7508150476140081
2,2,5.734695275291176,tmpfs,tmpfs,tmpfs,beegfs,0.7559635138596503
0,4,7.923327369942869,beegfs,beegfs,beegfs,ssd,2.944595608511343
0,4,7.97656078498259,beegfs,ssd,beegfs,ssd,2.9978290235510645
0,2,8.010211776105622,beegfs,beegfs,beegfs,ssd,3.031480014674097
0,2,8.063445191145345,beegfs,ssd,beegfs,ssd,3.084713429713819
0,1,8.066090511608683,beegfs,beegfs,beegfs,ssd,3.0873587501771578
0,1,8.119323926648406,beegfs,ssd,beegfs,ssd,3.14059216521688
0,4,8.175451000714446,beegfs,beegfs,beegfs,tmpfs,3.1967192392829205
0,4,8.228684415754168,beegfs,ssd,beegfs,tmpfs,3.2499526543226427
0,2,8.2623354068772,beegfs,beegfs,beegfs,tmpfs,3.283603645445675
0,2,8.315568821916921,beegfs,ssd,beegfs,tmpfs,3.3368370604853954
0,1,8.318214142380262,beegfs,beegfs,beegfs,tmpfs,3.339482380948736
0,1,8.371447557419982,beegfs,ssd,beegfs,tmpfs,3.3927157959884564
0,4,8.387333790018147,beegfs,tmpfs,beegfs,ssd,3.408602028586621
0,2,8.474218196180901,beegfs,tmpfs,beegfs,ssd,3.4954864347493757
0,4,8.482674669447574,beegfs,tmpfs,beegfs,tmpfs,3.5039429080160485
0,1,8.530096931683962,beegfs,tmpfs,beegfs,ssd,3.5513651702524367
0,2,8.569559075610329,beegfs,tmpfs,beegfs,tmpfs,3.590827314178803
0,4,8.605784714185491,beegfs,beegfs,beegfs,beegfs,3.6270529527539654
0,1,8.62543781111339,beegfs,tmpfs,beegfs,tmpfs,3.646706049681864
0,2,8.692669120348246,beegfs,beegfs,beegfs,beegfs,3.71393735891672
0,4,8.697669679434888,beegfs,ssd,beegfs,beegfs,3.7189379180033626
0,1,8.748547855851307,beegfs,beegfs,beegfs,beegfs,3.769816094419781
0,2,8.784554085597643,beegfs,ssd,beegfs,beegfs,3.805822324166117
1,1,8.823122030726402,tmpfs,beegfs,beegfs,beegfs,3.844390269294877
1,4,8.839294924145838,tmpfs,beegfs,beegfs,beegfs,3.860563162714312
0,1,8.840432821100704,beegfs,ssd,beegfs,beegfs,3.861701059669178
1,2,8.844443390391481,tmpfs,beegfs,beegfs,beegfs,3.8657116289599553
1,4,9.0550317834956,ssd,beegfs,beegfs,beegfs,4.076300022064075
0,4,9.108442684470443,beegfs,tmpfs,beegfs,beegfs,4.1297109230389175
0,2,9.195327090633198,beegfs,tmpfs,beegfs,beegfs,4.216595329201672
0,1,9.25120582613626,beegfs,tmpfs,beegfs,beegfs,4.272474064704735
1,2,9.545106517888714,ssd,beegfs,beegfs,beegfs,4.566374756457188
1,1,9.715621195845936,ssd,beegfs,beegfs,beegfs,4.73688943441441
1,1,9.754176109274932,tmpfs,beegfs,beegfs,tmpfs,4.775444347843406
1,1,9.754176109274932,tmpfs,tmpfs,beegfs,tmpfs,4.775444347843406
1,4,9.770349002694369,tmpfs,beegfs,beegfs,tmpfs,4.791617241262843
1,4,9.770349002694369,tmpfs,tmpfs,beegfs,tmpfs,4.791617241262843
1,2,9.77549746894001,tmpfs,beegfs,beegfs,tmpfs,4.796765707508484
1,2,9.77549746894001,tmpfs,tmpfs,beegfs,tmpfs,4.796765707508484
1,4,10.067405915181467,ssd,beegfs,beegfs,ssd,5.088674153749942
1,4,10.067405915181467,ssd,ssd,beegfs,ssd,5.088674153749942
1,1,10.488818263469502,tmpfs,tmpfs,beegfs,beegfs,5.510086502037977
1,4,10.504991156888938,tmpfs,tmpfs,beegfs,beegfs,5.526259395457412
1,2,10.51013962313458,tmpfs,tmpfs,beegfs,beegfs,5.5314078617030535
1,2,10.557480649574584,ssd,beegfs,beegfs,ssd,5.578748888143059
1,2,10.557480649574584,ssd,ssd,beegfs,ssd,5.578748888143059
1,1,10.727995327531806,ssd,beegfs,beegfs,ssd,5.74926356610028
1,1,10.727995327531806,ssd,ssd,beegfs,ssd,5.74926356610028
1,4,10.80970990363824,ssd,ssd,beegfs,beegfs,5.830978142206714
