region,nodes,total,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,regret_vs_global_best
0,16,4.387327432501744,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,0.0
0,16,4.422295605786213,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,0.03496817328446955
0,16,4.4257285146175755,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,0.03840108211583182
0,16,4.453898291078534,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,0.06657085857679057
0,16,4.488866464363004,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,0.10153903186126012
0,32,4.58266422479999,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,0.19533679229824585
0,32,4.617632398084459,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,0.2303049655827154
0,32,4.621065306915821,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,0.23373787441407767
0,32,4.64923508337678,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,0.2619076508750364
0,32,4.68420325666125,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,0.296875824159506
0,16,4.728598038247339,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,0.34127060574559565
0,16,4.732086655517227,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,0.34475922301548323
0,16,4.7395821817357975,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,0.35225474923405375
0,16,4.767054828801697,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,0.37972739629995367
0,16,4.795168896824131,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,0.4078414643223871
0,32,4.923934830545585,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,0.5366073980438415
0,32,4.927423447815474,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,0.54009601531373
0,32,4.934918974034043,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,0.5475915415322996
0,32,4.962391621099943,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,0.5750641885981995
0,32,4.990505689122377,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,0.603178256620633
0,16,5.073357261262824,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,0.6860298287610807
0,32,5.26869405356107,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,0.8813666210593265
0,8,5.558668644959412,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,1.1713412124576683
0,8,5.593636818243882,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,1.2063093857421379
0,8,5.597069727075244,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,1.2097422945735001
0,8,5.625239503536203,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,1.2379120710344589
0,8,5.660207676820672,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,1.2728802443189284
0,8,5.899939250705008,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,1.512611818203264
0,8,5.903427867974896,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,1.5161004354731524
0,8,5.910923394193466,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,1.523595961691722
0,8,5.938396041259366,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,1.551068608757622
0,8,5.966510109281799,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,1.5791826767800554
0,8,6.244698473720493,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,1.857371041218749
0,16,6.802039432339335,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,2.414711999837591
0,32,6.997376224637581,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,2.610048792135837
0,16,7.103440733227434,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,2.7161133007256906
0,16,7.114859090916134,beegfs,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,2.7275316584143905
0,32,7.29877752552568,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,2.9114500930239364
0,32,7.31019588321438,beegfs,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,2.9228684507126363
0,16,7.418717180318454,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,3.0313897478167107
0,32,7.6140539726167,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,3.2267265401149565
0,8,7.973380644797004,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,3.58605321229526
0,8,8.274781945685103,beegfs,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,3.887454513183359
0,8,8.286200303373803,beegfs,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,3.8988728708720597
0,8,8.590058392776124,beegfs,beegfs,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,4.20273096027438
0,16,9.479751650949192,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,tmpfs,beegfs,beegfs,5.092424218447448
0,32,9.67508844324744,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,tmpfs,beegfs,beegfs,5.287761010745696
0,16,9.793994089498792,beegfs,beegfs,beegfs,beegfs,ssd,ssd,ssd,beegfs,beegfs,5.406666656997048
0,32,9.989330881797038,beegfs,beegfs,beegfs,beegfs,ssd,ssd,ssd,beegfs,beegfs,5.602003449295294
0,8,10.651092863406864,beegfs,beegfs,beegfs,beegfs,tmpfs,tmpfs,tmpfs,beegfs,beegfs,6.263765430905121
0,8,10.96533530195646,beegfs,beegfs,beegfs,beegfs,ssd,ssd,ssd,beegfs,beegfs,6.578007869454716
0,16,31.509867903380925,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,27.12254047087918
0,16,31.54483607666539,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,27.15750864416365
0,16,31.54826898549676,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,27.16094155299502
0,32,31.58134341857682,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,27.19401598607508
0,32,31.61631159186129,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,27.22898415935955
0,32,31.619744500692654,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,27.232417068190912
0,16,31.82242785675502,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,27.435100424253278
