region,mean_total,regret_vs_global_best
0,36.99944974143085,32.61212230892911
1,81.71883923121571,77.33151179871396
2,96.6931514797706,92.30582404726886
3,146.91882781381378,142.53150038131204
4,157.70082854352103,153.3135011110193
5,246.66630805455213,242.2789806220504
6,276.3613552072778,271.97402777477606
7,307.37151800819936,302.9841905756976
8,318.64357786734536,314.2562504348436
9,387.89423179993037,383.5069043674286
10,379.6702572142776,375.28292978177586
11,489.16888183702406,484.7815544045223
12,548.1081181104225,543.7207906779208
